name,iso,fips,woeid
Phitsanulok,THA,TH12,0
Sukhothai,THA,TH09,0
Uttaradit,THA,TH10,0
Kanchanaburi,THA,TH50,0
Kamphaeng Phet,THA,TH11,0
Phichit,THA,TH13,0
Phetchabun,THA,TH14,0
Suphan Buri,THA,TH51,0
Tak,THA,TH08,0
Uthai Thani,THA,TH15,0
Ang Thong,THA,TH35,0
Chai Nat,THA,TH32,0
Lop Buri,THA,TH34,0
Nakhon Nayok,THA,TH43,0
Prachin Buri,THA,TH74,0
Nakhon Sawan,THA,TH16,0
Phra Nakhon Si Ayutthaya,THA,TH36,0
Pathum Thani,THA,TH39,0
Sing Buri,THA,TH33,0
Saraburi,THA,TH37,0
Bangkok Metropolis,THA,TH40,2347165
Nonthaburi,THA,TH38,0
Nakhon Pathom,THA,TH53,0
Phetchaburi,THA,TH56,0
Prachuap Khiri Khan,THA,TH57,0
Ratchaburi,THA,TH52,0
Samut Prakan,THA,TH42,0
Samut Sakhon,THA,TH55,0
Samut Songkhram,THA,TH54,0
Si Sa Ket,THA,TH30,0
Ubon Ratchathani,THA,TH75,0
Amnat Charoen,THA,TH77,0
Yasothon,THA,TH72,0
Qu?ng Ninh,VNM,VM13,0
Chon Buri,THA,TH46,0
Chachoengsao,THA,TH44,0
Chanthaburi,THA,TH48,0
Sa Kaeo,THA,TH80,0
Rayong,THA,TH47,0
Trat,THA,TH49,0
Buri Ram,THA,TH28,0
Chaiyaphum,THA,TH26,0
Khon Kaen,THA,TH22,0
Kalasin,THA,TH23,0
Maha Sarakham,THA,TH24,0
Nakhon Ratchasima,THA,TH32,0
Roi Et,THA,TH25,0
Surin,THA,TH29,0
Tây Ninh,VNM,VM33,0
Loei,THA,TH18,0
Nong Khai,THA,TH17,0
Sakon Nakhon,THA,TH20,0
Udon Thani,THA,TH76,0
Nong Bua Lam Phu,THA,TH79,0
Ði?n Biên,VNM,VM22,0
Ðông B?c,VNM,VM72,0
Thái Nguyên,VNM,VM85,0
Lào Cai,VNM,VM56,0
L?ng Son,VNM,VM39,0
Son La,VNM,VM32,0
Thanh Hóa,VNM,VM34,0
Tuyên Quang,VNM,VM68,0
Yên Bái,VNM,VM70,0
Hòa Bình,VNM,VM56,0
H?i Duong,VNM,VM79,0
Ð?ng B?ng Sông H?ng,VNM,VM81,0
Thái Nguyên,VNM,VM44,0
B?c Ninh,VNM,VM74,0
Vinh Phúc,VNM,VM86,0
Hà Tây,VNM,VM51,0
Ninh Bình,VNM,VM59,0
Hà Nam,VNM,VM80,0
Nam Ð?nh,VNM,VM82,0
Phú Th?,VNM,VM83,0
B?c Giang,VNM,VM71,0
Thái Bình,VNM,VM35,0
Nakhon Phanom,THA,TH73,0
Mukdahan,THA,TH78,0
Ha Tinh,VNM,VM52,0
Ngh? An,VNM,VM58,0
Qu?ng Bình,VNM,VM62,0
Dak Lak,VNM,VM07,2347720
Gia Lai,VNM,VM49,0
Khánh Hòa,VNM,VM54,0
Lâm Ð?ng,VNM,VM23,0
Ninh Thu?n,VNM,VM60,0
Phú Yên,VNM,VM61,0
Bình Duong,VNM,VM75,0
Bình Phu?c,VNM,VM76,0
Bình Ð?nh,VNM,VM46,0
Kon Tum,VNM,VM55,0
Quàng Nam,VNM,,0
Qu?ng Ngãi,VNM,VM63,0
Qu?ng Tr?,VNM,VM64,0
Th?a Thiên - Hu?,VNM,VM66,0
Ðà N?ng,VNM,VM78,0
Riau,IDN,ID37,2345728
Narathiwat,THA,TH31,0
Pattani,THA,TH69,0
Bà R?a - Vung Tàu,VNM,VM45,0
Bình Thu?n,VNM,VM47,0
Ðông Nam B?,VNM,VM43,0
An Giang,VNM,VM01,0
Ð?ng Tháp,VNM,VM09,0
Ð?ng Tháp,VNM,VM09,0
H? Chí Minh city,VNM,VM20,0
Kiên Giang,VNM,VM21,0
Long An,VNM,VM24,0
B?n Tre,VNM,VM03,0
d?ng b?ng sông C?u Long,VNM,VM60,0
B?c Liêu,VNM,VM73,0
Cà Mau,VNM,VM77,0
Sóc Trang,VNM,VM65,0
Trà Vinh,VNM,VM51,0
Vinh Long,VNM,VM50,0
Cao B?ng,VNM,VM05,0
Hà Giang,VNM,VM50,0
Sulawesi Utara,IDN,ID31,28350156
Luapula,ZMB,ZA04,2347808
Northern,ZMB,ZA05,2347807
Central,ZMB,ZA02,2347805
Copperbelt,ZMB,ZA08,2347802
Eastern,ZMB,ZA03,0
Eastern,ZMB,ZA03,0
Lusaka,ZMB,ZA02,0
North-Western,ZMB,ZA06,2347801
Southern,ZMB,ZA07,0
Western,ZMB,ZA01,0
Mashonaland Central,ZWE,ZI03,2347812
Harare,ZWE,ZI10,0
Matabeleland North,ZWE,ZI06,0
Midlands,ZWE,ZI02,2347811
Mashonaland East,ZWE,ZI04,2347813
Manicaland,ZWE,ZI01,2347810
Matabeleland South,ZWE,ZI07,0
Bulawayo,ZWE,ZI09,0
Masvingo,ZWE,ZI08,0
Mashonaland West,ZWE,ZI05,2347814
Hhohho,SWZ,WZ01,20069889
Lubombo,SWZ,WZ02,20069891
Manzini,SWZ,WZ03,20069892
Shiselweni,SWZ,WZ04,20069890
Maluku Utara,IDN,ID29,20069998
Sumatera Barat,IDN,ID24,0
Yogyakarta,IDN,ID10,2345719
Dili,TLS,TT00,0
Liquica,TLS,TT00,0
Ambeno,TLS,TT00,0
Aileu,TLS,TT00,0
Ainaro,TLS,TT00,0
Baucau,TLS,TT00,0
Bobonaro,TLS,TT00,0
Cova Lima,TLS,TT00,0
Ermera,TLS,TT00,0
Manatuto,TLS,TT00,0
Manufahi,TLS,TT00,0
Viqueque,TLS,TT00,0
Lautem,TLS,ID28,0
Maluku,IDN,ID28,20069997
Nusa Tenggara Barat,IDN,ID17,2345726
Sulawesi Tenggara,IDN,ID22,2345731
Sulawesi Tengah,IDN,ID21,2345730
Papua,IDN,ID36,2345718
Nord,NCL,NC00,24549806
Torba,VUT,NH07,20069883
Sanma,VUT,NH13,20069884
Tafea,VUT,NH15,20069887
Malampa,VUT,NH16,20069886
Penama,VUT,NH17,0
Shefa,VUT,NH18,20069888
Lambayeque,PER,PE14,0
Piura,PER,PE20,0
Tumbes,PER,PE24,0
Apurímac,PER,PE03,2346470
Arequipa,PER,PE04,0
Cusco,PER,PE08,0
Madre de Dios,PER,PE17,2346484
Callao,PER,PE21,0
Moquegua,PER,PE18,2346485
Tacna,PER,PE23,0
Acre,BRA,BR01,2344844
Ancash,PER,PE02,2346469
Cajamarca,PER,PE06,0
Huánuco,PER,PE10,0
La Libertad,PER,PE13,2346480
Pasco,PER,PE19,2346486
San Martín,PER,PE22,2346489
Ucayali,PER,PE25,2346492
Amazonas,PER,PE01,2346468
Loreto,PER,PE16,2346483
Ayacucho,PER,PE09,2346472
Lima Province,PER,,2346482
Huancavelica,PER,PE09,0
Ica,PER,PE11,0
Junín,PER,PE12,0
Lima,PER,PE15,2346482
Amazonas,BRA,BR04,2344847
Maranhão,BRA,BR13,2344854
Pará,BRA,BR16,2344857
