name,iso,fips,woeid
tore,SVN,SIC9,7153336
Bohinj,SVN,SI04,55848379
Kranjska Gora,SVN,SI53,55848354
Brda,SVN,SI07,55848371
Divaca,SVN,SI19,55848385
Hrpelje-Kozina,SVN,SI35,55848385
Miren-Kostanjevica,SVN,SIJ5,55848371
Friuli-Venezia Giulia,ITA,IT06,7153335
Trentino-Alto Adige,ITA,IT17,7153346
Veneto,ITA,IT20,7153349
Moravske Toplice,SVN,SI78,55848370
Sveti Jurij,SVN,SID1,55848390
Nitriansky,SVK,SI04,20070492
Trenciansky,SVK,SI06,20070493
Finnmark,NOR,NO05,2346388
Alytaus,LTU,LH56,55848082
Kauno,LTU,LH57,55848084
Marijampoles,LTU,LH59,55848078
Taurages,LTU,LH62,55848087
Utenos,LTU,LH64,55848081
Vilniaus,LTU,LH65,55848083
Riga,LVA,LG20,20070121
Riga,LVA,LG32,20070121
Ash Sharqiyah,SAU,SA06,2346954
Ar Rayyan,QAT,QA06,20070010
Al Wakrah,QAT,QA05,20070012
Jariyan al Batnah,QAT,QA08,20070011
Al Ghuwayriyah,QAT,QA02,20070004
Al Khawr,QAT,QA04,20070006
Umm Salal,QAT,QA09,20070007
Azad Kashmir,PAK,PK06,2346500
Northern Areas,PAK,PK07,2346501
Punjab,PAK,PK04,2346498
Chuy,KGZ,KG02,20070195
N.W.F.P.,PAK,PK03,2346497
Dhawalagiri,NPL,NP03,20070026
Karnali,NPL,NP06,20070018
Lumbini,NPL,NP08,20070026
Mahakali,NPL,NP09,20070030
Janakpur,NPL,NP05,20070029
Narayani,NPL,NP11,20070029
Sagarmatha,NPL,NP13,20070023
Mechi,NPL,NP10,20070023
Aceh,IDN,ID01,2345710
Perak,MYS,MY07,2346302
Pulau Pinang,MYS,MY09,2346304
Pulau Pinang,MYS,MY09,2346304
Kedah,MYS,MY02,2346297
Perlis,MYS,MY08,2346303
Perlis,MYS,MY08,2346303
Johor,MYS,MY01,2346296
Kelantan,MYS,MY03,2346298
Melaka,MYS,MY04,2346299
Negeri Sembilan,MYS,MY05,2346300
Pahang,MYS,MY06,2346301
Selangor,MYS,MY12,2346306
Gansu,CHN,CH15,12578005
Qinghai,CHN,,12577996
Guangxi,CHN,CH16,12578006
Guizhou,CHN,CH18,12578007
Chongqing,CHN,CH33,20070171
Beijing,CHN,CH22,12578011
Kaohsiung,TWN,,20070334
Tainan,TWN,,20070335
Hsinchu,TWN,,20070335
Taipei,TWN,TW03,20070333
Taoyuan,TWN,,20070335
Chiayi,TWN,,20070335
Taichung,TWN,,20070335
Yunlin,TWN,,20070335
Fujian,CHN,CH07,12577997
Anhui,CHN,CH01,12578022
Guangdong,CHN,CH30,12578019
Belait,BRN,BX01,20069849
Brunei and Muara,BRN,BX02,20069846
Temburong,BRN,BX03,20069847
Tutong,BRN,BX04,20069848
Kalimantan Timur,IDN,ID14,2345723
Sabah,MYS,MY15,2346310
Sarawak,MYS,MY11,2346305
Northern Cape,ZAF,SF06,2346985
Western Cape,ZAF,SF09,2346987
Ghanzi,BWA,BC03,2344743
Coast,KEN,KE02,2345938
Central,KEN,KE01,2345937
Nyanza,KEN,KE07,2345942
Cabo Delgado,MOZ,MZ01,2346311
Niassa,MOZ,MZ07,2346317
Berea,LSO,LT10,20069865
Maseru,LSO,LT14,20069870
Mohale's Hoek,LSO,LT15,20069868
Orange Free State,ZAF,SF07,2346980
Gaza,MOZ,MZ02,2346312
Gauteng,ZAF,SF08,2346981
Mpumalanga,ZAF,SF02,2346983
Limpopo,ZAF,SF05,2346986
Butha-Buthe,LSO,LT11,20069862
Mokhotlong,LSO,LT16,20069861
Qacha's Nek,LSO,LT17,20069866
Thaba-Tseka,LSO,LT19,20069864
KwaZulu-Natal,ZAF,SF03,2346982
